WeekYear,Jenis Produk,Jumlah Order,Total,Tanggal,Avg_Price
2022-W47,CraftLaminasi290,17000,17100000,22/11/2022,1005.882353
2022-W47,Dupleks310,5000,8700000,22/11/2022,1740
2022-W47,Dupleks350,6000,11400000,22/11/2022,1900
2022-W47,Ivory250,1000,1900000,22/11/2022,1900
2022-W47,Ivory230,4000,4290000,23/11/2022,1072.5
2022-W48,CraftLaminasi290,5000,7600000,29/11/2022,1520
2022-W48,Dupleks310,2000,3350000,29/11/2022,1675
2022-W48,Ivory250,2000,2800000,29/11/2022,1400
2022-W48,Ivory270,4000,9300000,29/11/2022,2325
2022-W48,Dupleks350,2000,3200000,02/12/2022,1600
2022-W48,GreaseProof,1000,800000,03/12/2022,800
2022-W49,Ivory230,7000,7390000,05/12/2022,1055.714286
2022-W49,Dupleks310,3000,4700000,06/12/2022,1566.666667
2022-W49,CraftLaminasi290,3500,2850000,07/12/2022,814.2857143
2022-W49,Dupleks350,1000,2200000,07/12/2022,2200
2022-W49,HVS,20000,5000000,07/12/2022,250
2022-W50,Dupleks310,7000,12300000,12/12/2022,1757.142857
2022-W50,Ivory230,9500,13550000,12/12/2022,1426.315789
2022-W50,Ivory270,2000,3250000,12/12/2022,1625
2022-W50,CraftLaminasi290,13500,15375000,13/12/2022,1138.888889
2022-W50,Dupleks350,4000,8350000,14/12/2022,2087.5
2022-W50,GreaseProof,1000,400000,15/12/2022,400
2022-W50,Ivory250,2000,3350000,15/12/2022,1675
2022-W50,Ivory350,1000,3500000,15/12/2022,3500
2023-W01,Dupleks310,21500,39800000,01/01/2023,1851.162791
2023-W01,Dupleks350,9000,20250000,01/01/2023,2250
2023-W01,GreaseProof,12500,4350000,01/01/2023,348
2023-W01,Ivory230,11000,15550000,01/01/2023,1413.636364
2023-W01,Ivory270,6000,11400000,01/01/2023,1900
2023-W01,CraftLaminasi290,22500,28875000,06/01/2023,1283.333333
2023-W01,FoodpakMatte245,5000,5500000,06/01/2023,1100
2023-W01,HVS,20000,5000000,06/01/2023,250
2023-W01,Ivory250,2000,2800000,06/01/2023,1400
2023-W05,CraftLaminasi290,4000,6400000,01/02/2023,1600
2023-W05,Dupleks310,1000,1700000,01/02/2023,1700
2023-W05,FoodpakMatte245,2000,2500000,01/02/2023,1250
2023-W05,Ivory230,1000,1350000,01/02/2023,1350
2023-W06,CraftLaminasi290,2000,1800000,05/02/2023,900
2023-W06,GreaseProof,4500,1175000,05/02/2023,261.1111111
2023-W06,Ivory230,3000,3950000,05/02/2023,1316.666667
2023-W06,Dupleks310,3000,5800000,09/02/2023,1933.333333
2023-W06,FoodpakMatte245,1000,1200000,09/02/2023,1200
2023-W06,Ivory270,2000,3800000,09/02/2023,1900
2023-W07,CraftLaminasi290,3000,2450000,13/02/2023,816.6666667
2023-W07,Ivory230,9000,8225000,13/02/2023,913.8888889
2023-W07,Ivory270,1000,2600000,13/02/2023,2600
2023-W07,Dupleks350,1000,2500000,16/02/2023,2500
2023-W07,GreaseProof,1000,300000,16/02/2023,300
2023-W08,FoodpakMatte245,2000,3000000,19/02/2023,1500
2023-W08,GreaseProof,1000,300000,19/02/2023,300
2023-W08,Ivory230,4000,5650000,19/02/2023,1412.5
2023-W08,Ivory250,1000,1700000,19/02/2023,1700
2023-W08,CraftLaminasi290,11000,8750000,21/02/2023,795.4545455
2023-W08,HVS,40000,10000000,21/02/2023,250
2023-W09,Dupleks350,2000,3950000,02/03/2023,1975
2023-W09,Ivory230,3000,2850000,02/03/2023,950
2023-W09,Dupleks310,2000,3200000,03/03/2023,1600
2023-W09,Ivory270,5000,11000000,04/03/2023,2200
2023-W10,Dupleks310,2500,4150000,06/03/2023,1660
2023-W10,Dupleks350,2000,3200000,06/03/2023,1600
2023-W10,FoodpakMatte245,2000,3000000,06/03/2023,1500
2023-W10,Ivory230,1000,1350000,06/03/2023,1350
2023-W10,CraftLaminasi290,8000,12400000,09/03/2023,1550
2023-W10,GreaseProof,1000,300000,09/03/2023,300
2023-W10,Ivory270,1000,2400000,09/03/2023,2400
2023-W11,Ivory250,4000,5800000,12/03/2023,1450
2023-W11,Dupleks310,4000,7350000,13/03/2023,1837.5
2023-W11,Dupleks350,3000,5000000,14/03/2023,1666.666667
2023-W11,GreaseProof,5500,1475000,14/03/2023,268.1818182
2023-W11,Ivory230,3120,3066000,14/03/2023,982.6923077
2023-W11,CraftLaminasi290,4000,3650000,15/03/2023,912.5
2023-W11,Ivory350,2000,2200000,15/03/2023,1100
2023-W12,Ivory250,2000,3900000,19/03/2023,1950
2023-W12,CraftLaminasi290,2000,1800000,20/03/2023,900
2023-W12,Ivory230,4000,4300000,20/03/2023,1075
2023-W12,FoodpakMatte245,9000,11700000,23/03/2023,1300
2023-W12,Ivory270,3000,4500000,24/03/2023,1500
2023-W12,Dupleks310,1000,2000000,25/03/2023,2000
2023-W12,GreaseProof,3000,900000,25/03/2023,300
2023-W13,FoodpakMatte245,7500,9000000,28/03/2023,1200
2023-W13,Ivory230,1000,1500000,28/03/2023,1500
2023-W13,Dupleks310,3000,4600000,30/03/2023,1533.333333
2023-W13,CraftLaminasi290,2000,1600000,31/03/2023,800
2023-W14,CraftLaminasi290,5000,4250000,03/04/2023,850
2023-W14,Dupleks310,1000,1800000,03/04/2023,1800
2023-W14,FoodpakMatte245,3000,4500000,03/04/2023,1500
2023-W14,Ivory230,1000,1350000,03/04/2023,1350
2023-W14,GreaseProof,5500,1475000,05/04/2023,268.1818182
2023-W14,Ivory250,1000,1000000,07/04/2023,1000
2023-W15,FoodpakMatte245,4500,4700000,10/04/2023,1044.444444
2023-W15,Ivory250,2000,3300000,10/04/2023,1650
2023-W15,CraftLaminasi290,4000,6400000,12/04/2023,1600
2023-W15,Ivory350,4000,3800000,12/04/2023,950
2023-W15,GreaseProof,2000,700000,15/04/2023,350
2023-W16,CraftLaminasi290,2000,1600000,16/04/2023,800
2023-W16,Dupleks350,1000,2250000,17/04/2023,2250
2023-W17,Ivory250,1000,1300000,23/04/2023,1300
2023-W17,FoodpakMatte245,5000,7500000,25/04/2023,1500
2023-W17,Ivory230,4000,4890000,26/04/2023,1222.5
2023-W17,CraftLaminasi290,10000,8950000,28/04/2023,895
2023-W17,Dupleks310,7500,12600000,28/04/2023,1680
2023-W17,GreaseProof,1000,300000,28/04/2023,300
2023-W17,HVS,20000,5000000,29/04/2023,250
2023-W18,Dupleks310,4000,7350000,30/04/2023,1837.5
2023-W18,Ivory230,10500,11350000,30/04/2023,1080.952381
2023-W18,Ivory250,3000,5300000,30/04/2023,1766.666667
2023-W18,Dupleks350,5000,9950000,05/05/2023,1990
2023-W18,GreaseProof,1000,250000,05/05/2023,250
2023-W18,HVS,2000,500000,05/05/2023,250
2023-W18,FoodpakMatte245,5000,7500000,06/05/2023,1500
2023-W19,FoodpakMatte245,1000,1800000,08/05/2023,1800
2023-W19,GreaseProof,7500,3275000,09/05/2023,436.6666667
2023-W19,Ivory350,10000,9500000,10/05/2023,950
2023-W19,Dupleks350,1000,3000000,11/05/2023,3000
2023-W19,Dupleks310,1000,1500000,12/05/2023,1500
2023-W19,Ivory230,2000,2600000,13/05/2023,1300
2023-W20,Ivory230,3000,4600000,15/05/2023,1533.333333
2023-W20,Dupleks310,4000,5700000,16/05/2023,1425
2023-W20,CraftLaminasi290,6000,7800000,17/05/2023,1300
2023-W20,FoodpakMatte245,1000,850000,17/05/2023,850
2023-W20,Ivory350,1000,2700000,17/05/2023,2700
2023-W21,GreaseProof,5500,2350000,22/05/2023,427.2727273
2023-W21,Ivory230,3000,4500000,22/05/2023,1500
2023-W21,Ivory250,5000,6400000,22/05/2023,1280
2023-W21,Ivory350,20000,18000000,22/05/2023,900
2023-W21,Dupleks310,4000,6900000,23/05/2023,1725
2023-W21,FoodpakMatte245,6000,6600000,26/05/2023,1100
2023-W21,Ivory270,1000,2200000,27/05/2023,2200
2023-W22,CraftLaminasi290,5000,5600000,28/05/2023,1120
2023-W22,Ivory230,7500,9545000,28/05/2023,1272.666667
2023-W22,Dupleks350,3000,6800000,29/05/2023,2266.666667
2023-W22,GreaseProof,1000,300000,29/05/2023,300
2023-W22,FoodpakMatte245,4000,5700000,31/05/2023,1425
2023-W23,GreaseProof,4500,1275000,05/06/2023,283.3333333
2023-W23,Dupleks310,1000,1700000,06/06/2023,1700
2023-W23,Ivory230,2000,2250000,06/06/2023,1125
2023-W23,Dupleks350,2000,3200000,07/06/2023,1600
2023-W23,Ivory250,1000,1700000,07/06/2023,1700
2023-W23,Ivory350,10000,9000000,08/06/2023,900
2023-W24,Dupleks310,9500,14250000,11/06/2023,1500
2023-W24,Ivory230,3000,4445000,11/06/2023,1481.666667
2023-W24,CraftLaminasi290,6000,5137500,15/06/2023,856.25
2023-W24,Ivory270,1500,3600000,15/06/2023,2400
2023-W24,FoodpakMatte245,2000,3000000,16/06/2023,1500
2023-W24,Ivory350,10000,9000000,16/06/2023,900
2023-W25,GreaseProof,3000,900000,18/06/2023,300
2023-W25,Ivory230,5000,4000000,18/06/2023,800
2023-W25,Dupleks310,2500,3950000,19/06/2023,1580
2023-W25,CraftLaminasi290,4000,6000000,21/06/2023,1500
2023-W25,FoodpakMatte245,2000,2000000,23/06/2023,1000
2023-W26,FoodpakMatte245,4000,6000000,26/06/2023,1500
2023-W26,HVS,20000,5000000,26/06/2023,250
2023-W26,Ivory230,2000,2700000,26/06/2023,1350
2023-W27,Dupleks310,9000,17400000,03/07/2023,1933.333333
2023-W27,Dupleks350,5000,9800000,03/07/2023,1960
2023-W27,Ivory250,1000,1700000,03/07/2023,1700
2023-W27,Ivory270,6000,10100000,03/07/2023,1683.333333
2023-W27,Ivory230,7500,7550000,04/07/2023,1006.666667
2023-W27,CraftLaminasi290,7000,5950000,05/07/2023,850
2023-W27,GreaseProof,4500,1275000,05/07/2023,283.3333333
2023-W28,GreaseProof,2000,600000,09/07/2023,300
2023-W28,Dupleks310,3000,6000000,11/07/2023,2000
2023-W28,Dupleks350,4000,6200000,12/07/2023,1550
2023-W28,Ivory230,2000,2550000,12/07/2023,1275
2023-W28,Ivory270,1000,1300000,12/07/2023,1300
2023-W28,FoodpakMatte245,3000,4500000,15/07/2023,1500
2023-W29,CraftLaminasi290,5000,7500000,16/07/2023,1500
2023-W29,Ivory230,4000,6400000,16/07/2023,1600
2023-W29,GreaseProof,2000,600000,18/07/2023,300
2023-W29,Dupleks310,1000,1900000,20/07/2023,1900
2023-W29,Ivory250,7000,8700000,20/07/2023,1242.857143
2023-W30,CraftLaminasi290,1000,950000,23/07/2023,950
2023-W30,Dupleks310,2000,3800000,24/07/2023,1900
2023-W30,Ivory230,1000,1500000,25/07/2023,1500
2023-W30,Dupleks350,2000,3000000,27/07/2023,1500
2023-W30,FoodpakMatte245,2000,2000000,27/07/2023,1000
2023-W30,GreaseProof,4500,1325000,27/07/2023,294.4444444
2023-W30,Ivory250,2000,3400000,29/07/2023,1700
2023-W31,Dupleks310,6500,9650000,30/07/2023,1484.615385
2023-W31,Dupleks350,3000,7000000,31/07/2023,2333.333333
2023-W31,FoodpakMatte245,3000,4500000,31/07/2023,1500
2023-W31,Ivory230,8500,8850000,31/07/2023,1041.176471
2023-W31,Ivory270,2100,6430000,31/07/2023,3061.904762
2023-W31,Ivory350,12000,10800000,02/08/2023,900
2023-W31,Ivory250,1000,500000,05/08/2023,500
2023-W32,FoodpakMatte245,9000,10100000,07/08/2023,1122.222222
2023-W32,GreaseProof,4500,1175000,07/08/2023,261.1111111
2023-W32,Ivory270,4000,2800000,07/08/2023,700
2023-W32,CraftLaminasi290,6000,5550000,09/08/2023,925
2023-W32,Dupleks310,7000,13300000,09/08/2023,1900
2023-W33,CraftLaminasi290,2000,3200000,13/08/2023,1600
2023-W33,Dupleks350,2000,3950000,13/08/2023,1975
2023-W33,Ivory270,3000,5850000,13/08/2023,1950
2023-W33,Ivory230,5500,5745000,14/08/2023,1044.545455
2023-W33,Dupleks310,1000,2000000,16/08/2023,2000
2023-W33,Ivory250,1000,1700000,18/08/2023,1700
2023-W34,Dupleks310,16000,27250000,20/08/2023,1703.125
2023-W34,Dupleks350,4000,6600000,20/08/2023,1650
2023-W34,FoodpakMatte245,4000,6000000,20/08/2023,1500
2023-W34,HVS,25000,6500000,20/08/2023,260
2023-W34,Ivory230,1000,1350000,20/08/2023,1350
2023-W34,Ivory270,3000,7450000,20/08/2023,2483.333333
2023-W34,CraftLaminasi290,9000,8700000,21/08/2023,966.6666667
2023-W35,CraftLaminasi290,7500,6937500,27/08/2023,925
2023-W35,Dupleks310,8000,13700000,27/08/2023,1712.5
2023-W35,FoodpakMatte245,2000,3000000,27/08/2023,1500
2023-W35,Ivory230,3000,4700000,28/08/2023,1566.666667
2023-W35,GreaseProof,6000,1650000,29/08/2023,275
2023-W35,Ivory350,12000,10800000,31/08/2023,900
2023-W36,CraftLaminasi290,7000,9100000,03/09/2023,1300
2023-W36,Ivory350,15000,15200000,03/09/2023,1013.333333
2023-W36,Dupleks310,7000,11800000,06/09/2023,1685.714286
2023-W36,GreaseProof,2000,600000,06/09/2023,300
2023-W36,Ivory230,3000,4650000,08/09/2023,1550
2023-W36,Ivory250,2000,3450000,08/09/2023,1725
2023-W37,Dupleks310,4000,6900000,12/09/2023,1725
2023-W37,GreaseProof,2000,700000,13/09/2023,350
2023-W37,Ivory250,1000,1600000,13/09/2023,1600
2023-W37,Dupleks350,500,1500000,15/09/2023,3000
2023-W37,Ivory230,4500,4150000,16/09/2023,922.2222222
2023-W38,FoodpakMatte245,2000,2000000,17/09/2023,1000
2023-W38,Ivory230,3000,2840000,17/09/2023,946.6666667
2023-W38,Dupleks310,1000,1900000,19/09/2023,1900
2023-W38,Dupleks350,4000,8325000,19/09/2023,2081.25
2023-W38,Ivory250,3000,3900000,20/09/2023,1300
2023-W38,CraftLaminasi290,3000,2512500,22/09/2023,837.5
2023-W39,Dupleks310,3000,6800000,24/09/2023,2266.666667
2023-W39,CraftLaminasi290,1000,1400000,25/09/2023,1400
2023-W39,GreaseProof,2000,700000,25/09/2023,350
2023-W39,FoodpakMatte245,2000,1700000,26/09/2023,850
2023-W39,Ivory250,3000,4800000,27/09/2023,1600
2023-W39,Dupleks350,3000,6100000,28/09/2023,2033.333333
2023-W40,Dupleks310,2000,2600000,01/10/2023,1300
2023-W40,Ivory230,3000,3590000,01/10/2023,1196.666667
2023-W40,GreaseProof,2000,1400000,04/10/2023,700
2023-W40,Dupleks350,2000,3950000,05/10/2023,1975
2023-W40,Ivory350,14000,12600000,05/10/2023,900
2023-W41,CraftLaminasi290,12500,13512500,08/10/2023,1081
2023-W41,Dupleks310,2000,3550000,08/10/2023,1775
2023-W41,Dupleks350,4500,8100000,08/10/2023,1800
2023-W41,HVS,10000,2750000,08/10/2023,275
2023-W41,GreaseProof,1000,450000,09/10/2023,450
2023-W41,Ivory230,4000,6000000,09/10/2023,1500
2023-W41,Ivory250,2000,3300000,09/10/2023,1650
2023-W41,FoodpakMatte245,6000,8900000,12/10/2023,1483.333333
2023-W41,Ivory270,1000,1900000,14/10/2023,1900
2023-W42,Dupleks350,2000,3000000,16/10/2023,1500
2023-W42,Dupleks310,2000,3250000,18/10/2023,1625
2023-W42,FoodpakMatte245,3000,4400000,18/10/2023,1466.666667
2023-W42,Ivory250,1000,700000,19/10/2023,700
2023-W42,HVS,20000,5000000,20/10/2023,250
2023-W42,Ivory230,1000,950000,20/10/2023,950
2023-W43,CraftLaminasi290,4500,4325000,23/10/2023,961.1111111
2023-W43,Dupleks310,4000,6800000,23/10/2023,1700
2023-W43,Ivory250,1000,1550000,23/10/2023,1550
2023-W43,FoodpakMatte245,1000,1700000,24/10/2023,1700
2023-W43,GreaseProof,2000,600000,25/10/2023,300
2023-W43,Ivory350,14000,12600000,25/10/2023,900
2023-W43,Ivory270,3000,5700000,26/10/2023,1900
2023-W44,Ivory230,4500,4150000,29/10/2023,922.2222222
2023-W44,Dupleks350,4000,3750000,30/10/2023,937.5
2023-W44,FoodpakMatte245,9000,12700000,30/10/2023,1411.111111
2023-W44,Dupleks310,2000,3200000,03/11/2023,1600
2023-W45,GreaseProof,3500,875000,06/11/2023,250
2023-W45,FoodpakMatte245,1000,1500000,07/11/2023,1500
2023-W45,Ivory250,1000,1500000,07/11/2023,1500
2023-W45,Ivory270,4000,8800000,07/11/2023,2200
2023-W45,Ivory230,5500,6850000,08/11/2023,1245.454545
2023-W45,CraftLaminasi290,2000,3200000,09/11/2023,1600
2023-W45,Dupleks310,3000,5300000,09/11/2023,1766.666667
2023-W45,Dupleks350,13000,24100000,09/11/2023,1853.846154
2023-W46,Dupleks350,2000,3200000,13/11/2023,1600
2023-W46,Ivory230,2000,2200000,14/11/2023,1100
2023-W46,CraftLaminasi290,3500,2912500,15/11/2023,832.1428571
2023-W46,GreaseProof,1000,300000,15/11/2023,300
